 id  |                name                |  telephone  | discount | points | favourite_bar_id 
-----+------------------------------------+-------------+----------+--------+------------------
 105 | Торопова Рената Петровна          +| 79867803334 |     0.20 |   1242 |                1
     |                                    |             |          |        | 
 485 | Полунина Мария Всеволодовна       +| 79192327615 |     0.20 |   7446 |                1
     |                                    |             |          |        | 
 374 | Воликова Анастасия Ираклиевна     +| 79291517279 |     0.20 |   7753 |                1
     |                                    |             |          |        | 
 321 | Милютин Викентий Андриянович      +| 79221245938 |     0.20 |   3123 |                3
     |                                    |             |          |        | 
  46 | Цветков Юлий Артемович            +| 79237936988 |     0.20 |   3101 |                3
     |                                    |             |          |        | 
 106 | Богатова Оксана Потаповна         +| 79755355890 |     0.20 |   3956 |                3
     |                                    |             |          |        | 
 236 | Лютова Аза Карповна               +| 79517259716 |     0.20 |   4614 |                5
     |                                    |             |          |        | 
 157 | Подкользина Марианна Данилевна    +| 79578603398 |     0.20 |   1560 |                5
     |                                    |             |          |        | 
 467 | Вольваков Ким Евграфович          +| 79780685049 |     0.20 |   3109 |                6
     |                                    |             |          |        | 
 299 | Вышегородских Семен Глебович      +| 79634425838 |     0.20 |   6342 |                6
     |                                    |             |          |        | 
  67 | Кудайбергенова Антонина Данилевна +| 79010788376 |     0.20 |   8573 |                7
     |                                    |             |          |        | 
 408 | Крупин Емельян Валерьянович       +| 79177617796 |     0.20 |   6920 |                8
     |                                    |             |          |        | 
 500 | Махмудова Лилия Тимофеевна        +| 79484460600 |     0.20 |   8701 |                8
     |                                    |             |          |        | 
 204 | Панков Глеб Родионович            +| 79998566588 |     0.20 |   9208 |                9
     |                                    |             |          |        | 
 297 | Журавлев Эмиль Проклович          +| 79841738985 |     0.20 |   4519 |                9
     |                                    |             |          |        | 
 442 | Деменока Фаина Емельяновна        +| 79093439551 |     0.20 |   8845 |                9
     |                                    |             |          |        | 
 275 | Квасникова Жанна Несторовна       +| 79217520682 |     0.20 |   7517 |               10
     |                                    |             |          |        | 
 265 | Дарюшин Остап Изяславович         +| 79722931768 |     0.20 |   6563 |               10
     |                                    |             |          |        | 
 107 | Кропанин Михей Феоктистович       +| 79410105278 |     0.20 |   4613 |               10
     |                                    |             |          |        | 
 403 | Тимашева Полина Яновна            +| 79893645655 |     0.20 |   9304 |               12
     |                                    |             |          |        | 
  17 | Бугайчук Венедикт Никанорович     +| 79578284956 |     0.20 |   3155 |               12
     |                                    |             |          |        | 
 261 | Ярцов Прокл Карлович              +| 79504545881 |     0.20 |   7513 |               14
     |                                    |             |          |        | 
 493 | Веретёнова Жанна Романовна        +| 79607391278 |     0.20 |   2345 |               14
     |                                    |             |          |        | 
 173 | Горелова Ярослава Михеевна        +| 79131052644 |     0.20 |     48 |               14
     |                                    |             |          |        | 
  16 | Яшвили Вероника Семеновна         +| 79802271206 |     0.20 |   2948 |               15
     |                                    |             |          |        | 
 222 | Бореева Любава Алексеевна         +| 79310443593 |     0.20 |   9512 |               17
     |                                    |             |          |        | 
 252 | Ломадуров Николай Карлович        +| 79307258292 |     0.20 |   5748 |               19
     |                                    |             |          |        | 
 116 | Ульяшин Егор Федотович            +| 79963895000 |     0.20 |   7483 |               19
     |                                    |             |          |        | 
 138 | Пустохина Милена Несторовна       +| 79955783038 |     0.20 |   8110 |               19
     |                                    |             |          |        | 
  82 | Толстоброва Эльвира Федотовна     +| 79365232721 |     0.20 |   3706 |               19
     |                                    |             |          |        | 
 376 | Неделяев Самуил Иосифович         +| 79677661659 |     0.20 |   6077 |               19
     |                                    |             |          |        | 
 237 | Курганова Ариадна Афанасиевна     +| 79551754631 |     0.20 |   9014 |               19
     |                                    |             |          |        | 
 337 | Каржов Модест Прокофиевич         +| 79186857528 |     0.20 |   3640 |               19
     |                                    |             |          |        | 
  29 | Юхтрица Инна Емельяновна          +| 79634671964 |     0.20 |   8419 |               20
     |                                    |             |          |        | 
 386 | Ожегов Ким Кириллович             +| 79417031937 |     0.20 |   5576 |               20
     |                                    |             |          |        | 
  90 | Этуш Филипп Андронович            +| 79421071282 |     0.19 |   9990 |                1
     |                                    |             |          |        | 
 484 | Набойченко Ян Игнатиевич          +| 79252288460 |     0.19 |   2138 |                2
     |                                    |             |          |        | 
   1 | Дмитриева Юнона Семеновна         +| 79187815921 |     0.19 |   8562 |                3
     |                                    |             |          |        | 
